,Valor,Significado
0,1,Distrito Nacional
1,2,Azua
2,3,Baoruco
3,4,Barahona
4,5,Dajabón
5,6,Duarte
6,7,Elías Piña
7,8,El Seibo
8,9,Espaillat
9,10,Independencia
10,11,La Altagracia
11,12,La Romana
12,13,La Vega
13,14,María Trinidad. Sánchez
14,15,Monte Cristi
15,16,Pedernales
16,17,Peravia
17,18,Puerto Plata
18,19,Hermanas Mirabal
19,20,Samaná
20,21,San Cristóbal
21,22,San Juan
22,23,San Pedro de Macorís
23,24,Sánchez Ramírez
24,25,Santiago
25,26,Santiago Rodríguez
26,27,Valverde
27,28,Monseñor Nouel
28,29,Monte Plata
29,30,Hato Mayor
30,31,San José de Ocoa
31,32,Santo Domingo
32,99,No declarada
